SRR15712638,SAMN21216021
SRR15712639,SAMN21216021
SRR15712640,SAMN21216020
SRR15712641,SAMN21216008
SRR15712642,SAMN21216020
SRR15712643,SAMN21216019
SRR15712644,SAMN21216019
SRR15712645,SAMN21216010
SRR15712646,SAMN21216007
SRR15712647,SAMN21216007
SRR15715915,SAMN21218885
SRR15715916,SAMN21218884
SRR15715917,SAMN21218883
SRR15715918,SAMN21218882
SRR15715919,SAMN21218881
SRR15715920,SAMN21218880
SRR15832783,SAMN21359670
SRR15832784,SAMN21359669
SRR15832785,SAMN21359668
SRR15832786,SAMN21359667
SRR15832787,SAMN21359666
SRR15832788,SAMN21359665
SRR15838031,SAMN21359676
SRR15838032,SAMN21359675
SRR15838033,SAMN21359674
SRR15838034,SAMN21359673
SRR15838035,SAMN21359672
SRR15838036,SAMN21359671
SRR15852865,SAMN21380009
SRR15852866,SAMN21380009
SRR15852867,SAMN21380009
SRR15852868,SAMN21380009
SRR15852869,SAMN21380009
SRR15852870,SAMN21380009
SRR15852871,SAMN21380009
SRR15852872,SAMN21380009
SRR15852873,SAMN21380009
SRR15852874,SAMN21380009
SRR1588520,SAMN03003437
SRR1588521,SAMN03003437
SRR1588522,SAMN03003437
SRR1588523,SAMN03003437
SRR1588524,SAMN03003437
SRR1588525,SAMN03003437
SRR1588526,SAMN03003437
SRR1588527,SAMN03003437
SRR1588528,SAMN03003437
SRR1588529,SAMN03003437
SRR1588530,SAMN03003437
SRR1588531,SAMN03003437
SRR1588532,SAMN03003437
SRR1588533,SAMN03003437
SRR1588534,SAMN03003437
SRR1588535,SAMN03003437
SRR1588536,SAMN03003437
SRR1588537,SAMN03003437
SRR1588538,SAMN03003437
SRR1588539,SAMN03003437
SRR1588540,SAMN03003437
SRR1588541,SAMN03003437
SRR1588542,SAMN03003437
SRR1588543,SAMN03003437
SRR1588544,SAMN03003437
SRR1588545,SAMN03003437
SRR1588546,SAMN03003437
SRR1588547,SAMN03003437
SRR1588548,SAMN03003437
SRR1588549,SAMN03003437
SRR1589600,SAMN03003042
SRR1589601,SAMN03003042
SRR1589602,SAMN03003042
SRR15899097,SAMN21359764
SRR15899098,SAMN21359763
SRR15899099,SAMN21359762
SRR15899100,SAMN21359761
SRR15899101,SAMN21359760
SRR15899102,SAMN21359759
SRR15899103,SAMN21359758
SRR15899104,SAMN21359757
SRR15899105,SAMN21359756
SRR15899106,SAMN21359755
SRR15899108,SAMN21359754
SRR15899109,SAMN21359753
SRR15899110,SAMN21359752
SRR15899111,SAMN21359751
SRR15899112,SAMN21359750
SRR15899113,SAMN21359749
SRR15899114,SAMN21359748
SRR15899115,SAMN21359747
SRR15899116,SAMN21359746
SRR15899117,SAMN21359745
SRR15899119,SAMN21359744
SRR15899120,SAMN21359743
SRR15899121,SAMN21359742
SRR15899122,SAMN21359741
SRR15899123,SAMN21359740
SRR15899124,SAMN21359739
SRR15899125,SAMN21359738
SRR15899126,SAMN21359737
SRR15899127,SAMN21359736
SRR15899128,SAMN21359735
SRR15899130,SAMN21359734
SRR15899131,SAMN21359733
SRR15899132,SAMN21359732
SRR15899133,SAMN21359731
SRR15899134,SAMN21359730
SRR15899135,SAMN21359729
SRR15899136,SAMN21359728
SRR15899137,SAMN21359727
SRR15899138,SAMN21359726
SRR15899139,SAMN21359725
SRR15899141,SAMN21359724
SRR15899142,SAMN21359723
SRR15899143,SAMN21359722
SRR15899144,SAMN21359721
SRR15899145,SAMN21359720
SRR15899146,SAMN21359719
SRR15899147,SAMN21359718
SRR15899148,SAMN21359717
SRR15899149,SAMN21359716
SRR15899150,SAMN21359715
SRR15899152,SAMN21359714
SRR15899153,SAMN21359713
SRR15899154,SAMN21359712
SRR15899155,SAMN21359711
SRR15899156,SAMN21359710
SRR15899157,SAMN21359709
SRR15899158,SAMN21359708
SRR15899159,SAMN21359707
SRR15899160,SAMN21359706
SRR15899161,SAMN21359705
SRR15899163,SAMN21359704
SRR15899164,SAMN21359703
SRR15899165,SAMN21359702
SRR15899166,SAMN21359701
SRR15899167,SAMN21359700
SRR15899168,SAMN21359699
SRR15899169,SAMN21359698
SRR15899170,SAMN21359697
SRR15899171,SAMN21359696
SRR15899172,SAMN21359695
SRR15899174,SAMN21359694
SRR15899175,SAMN21359693
SRR15899176,SAMN21359692
SRR15899177,SAMN21359691
SRR15899178,SAMN21359690
SRR15899179,SAMN21359689
SRR15899180,SAMN21359688
SRR15899181,SAMN21359687
SRR15899182,SAMN21359880
SRR15899183,SAMN21359879
SRR15899184,SAMN21359878
SRR15899185,SAMN21359877
SRR15899186,SAMN21359876
SRR15899187,SAMN21359875
SRR15899188,SAMN21359686
SRR15899189,SAMN21359874
SRR15899190,SAMN21359873
SRR15899191,SAMN21359872
SRR15899192,SAMN21359871
SRR15899193,SAMN21359870
SRR15899194,SAMN21359869
SRR15899195,SAMN21359868
SRR15899196,SAMN21359867
SRR15899197,SAMN21359866
SRR15899198,SAMN21359865
SRR15899199,SAMN21359685
