SRR12164958,SAMN15464731
SRR12190324,SAMN15455607
SRR12190325,SAMN15455606
SRR12190326,SAMN15455605
SRR12190327,SAMN15455604
SRR12190328,SAMN15455603
SRR12190329,SAMN15455602
SRR12190330,SAMN15455601
SRR12190337,SAMN15455600
SRR12190346,SAMN15455609
SRR12190347,SAMN15455608
SRR12190348,SAMN15455599
SRR12190349,SAMN15455598
SRR12228782,SAMN15456427
SRR12228783,SAMN15456426
SRR12228784,SAMN15456425
SRR12228785,SAMN15456424
SRR12228786,SAMN15456423
SRR12228787,SAMN15456422
SRR12228788,SAMN15456421
SRR12228789,SAMN15456420
SRR12228790,SAMN15456431
SRR12228791,SAMN15456430
SRR12228792,SAMN15456429
SRR12228793,SAMN15456428
SRR12283466,SAMN15581362
SRR12283467,SAMN15581362
SRR12283468,SAMN15581362
SRR12283469,SAMN15581362
SRR12283470,SAMN15581362
SRR12283471,SAMN15581362
SRR12327366,SAMN15647389
SRR12327367,SAMN15647388
SRR12327369,SAMN15647386
SRR12327388,SAMN15647383
SRR12328104,SAMN15648536
SRR12328105,SAMN15648535
SRR12328106,SAMN15648534
SRR12328107,SAMN15648533
SRR12328108,SAMN15648532
SRR12328109,SAMN15648531
SRR12328110,SAMN15648530
SRR12328111,SAMN15648529
SRR12328112,SAMN15648528
SRR12328113,SAMN15648527
SRR12328114,SAMN15648086
SRR12328115,SAMN15648526
SRR12328116,SAMN15648525
SRR12328117,SAMN15648524
SRR12328118,SAMN15648523
SRR12328119,SAMN15648522
SRR12328120,SAMN15648521
SRR12328121,SAMN15648520
SRR12328122,SAMN15648519
SRR12328123,SAMN15648518
SRR12328124,SAMN15648517
SRR12328125,SAMN15648085
SRR12328126,SAMN15648516
SRR12328127,SAMN15648515
SRR12328128,SAMN15648514
SRR12328129,SAMN15648513
SRR12328130,SAMN15648512
SRR12328131,SAMN15648511
SRR12328132,SAMN15648510
SRR12328133,SAMN15648509
SRR12328134,SAMN15648508
SRR12328135,SAMN15648507
SRR12328136,SAMN15648084
SRR12328137,SAMN15648506
SRR12328138,SAMN15648505
SRR12328139,SAMN15648504
SRR12328140,SAMN15648503
SRR12328141,SAMN15648502
SRR12328142,SAMN15648501
SRR12328143,SAMN15648500
SRR12328144,SAMN15648319
SRR12328145,SAMN15648318
SRR12328146,SAMN15648317
SRR12328147,SAMN15648065
SRR12328148,SAMN15648316
